cellid,ApoE,Au,B7H3,CD133,CD14,CD163,CD31,CD3e,CD4,CD45,CD47,CD70,CD8a,EGFR,EGFRvIII,EphA2,FOXP3,Fe,GD2,GFAP,GM2_GD2,GPC2,H3K27M,H3K27me3,HER2,HLA1,HLADR,IDH1_R132H,IL13RA2,Ki67,NG2,NeuN,Noodle,Nuclear,Olig2,TMEM119,VISTA,YAP_TAZ,area,major_axis_length,minor_axis_length,perimeter,convex_area,equivalent_diameter,centroid.0,centroid.1,fov
568255,0.0394077129077442,2.28595211631373,0.121766949047656,0.0920930214710637,0.049066504430567,0.0339905072090401,0.103944338299706,0.0464079711713834,0.0459119666650305,0.0457535783480888,0.0236941950801468,0.153187869473229,0.0063243172360123,0.108548296802785,0.0397211707073312,0.0310430902223462,0.0870638569466465,0.0728958782396818,6.10079763359145e-05,0.0238592786672081,0.0113340338317429,0.0458800629613548,0.017657270828078,0.079614594142145,0.150804565133276,0.113345676721612,0.0195634216967444,0.049919365971226,3.58288862595433e-05,0.0389324376370453,0.14036959029299,0.0575441804102301,0.0004152977152874,0.0177998751924749,0.0654881762272814,0.119376111134229,0.232281322322537,1.51816802507822e-05,228,18.7948020154609,15.4953735734128,54.8700576850888,239,17.0381517835597,161.94298245614,385.662280701754,Stanford_TA551_R1C3
568256,0.039856258654814,3.67014752012311,0.283843363632768,0.116203231427254,0.162644775354429,0.0349998337626216,0.0914196192794601,0.141707256073257,0.194461876618354,0.233344940788157,0.0274504666820237,0.162200233182808,0.0238550724179073,0.0784195883518437,0.0172842077687761,0.0352567981014717,0.0337583328761346,0.049368294802579,6.09200532463464e-05,0.0254593203139949,0.017961038823092,0.104965731879911,0.0128559258262068,0.0820531800117726,0.102290600240039,0.233494262879232,0.130603313431295,0.0512574717573885,0.0001012493922102,0.0834062826897246,0.0905255003029214,0.0506687689332855,0.0004722155028521,0.0257836520069777,0.0327466550719973,0.375440613109374,0.59417163065859,5.08531288366125e-05,396,26.3044704899867,19.3005654960235,74.1837661840736,414,22.4544619110573,163.161616161616,1056.40151515152,Stanford_TA551_R1C3
568257,0.0756070013258404,6.42806093252389,0.119637405065817,0.0767218596725486,0.0418352445139459,0.0372813314875811,0.065522528770857,0.0585873810834672,0.0298962340936485,0.0114483496703754,0.0382258587800559,0.173090106798443,0.009107858428855,0.0741731530538083,0.0260679550248501,0.0739371849118588,0.0540134919999022,0.032950433702732,9.45193072160085e-05,0.013689915515603,0.0213126290504289,0.183229974977694,0.016061871705305,0.131162680546625,0.066101942150432,0.0834248161998755,0.0062100624726698,0.0805554205924691,4.50993688369759e-05,0.0178509203060651,0.120463425029297,0.0621139730232805,0.0005250099548109,0.0220153407686075,0.0384540455868389,0.128762057087034,0.0898479962324212,1.18940511042145e-05,471,26.9271945122914,22.60326936785,80.7695526217005,492,24.4886877061688,162.855626326964,1889.56050955414,Stanford_TA551_R1C3
568258,0.0516728911334291,6.24568037151773,0.0967351344012465,0.0740141809321852,0.0231584361881585,0.032075729356933,0.0475912652622375,0.0770367905407997,0.0707652816068378,0.0765024541696692,0.039080492111123,0.288316553739444,0.0070759449449452,0.0724489390890684,0.0375510970601128,0.0545231720934665,0.0328816947495854,0.0201643682940824,6.39424137717218e-05,0.0306032431526985,0.017887722618909,0.129410014565438,0.0131760679834336,0.13556039303962,0.0889867441420241,0.0734694145094254,0.01286827926545,0.0578541036117447,3.67559568064258e-05,0.0172975374192239,0.139367029373598,0.0586926534786203,0.0005877209468791,0.0320854131806259,0.12981912387461,0.129613387887517,0.0729337984600939,3.74670229399342e-06,691,33.9348195215672,26.499327163975,101.982756057297,741,29.6615664692881,163.311143270622,1504.41968162084,Stanford_TA551_R1C3
568259,0.082846886595369,14.5048828125,0.0950520531953972,0.108708577914213,0.0138602306216356,0.0283788302999734,0.0467519498479652,0.135707788940969,0.0586831278926204,0.0127862227642303,0.0303257891995835,0.125991344165205,0.007131935351434,0.133357986423893,0.0613569166826636,0.072577119307409,0.0540501957587206,0.0300190210342407,5.89957305540641e-05,0.0369078146613727,0.015434877697359,0.152305422913526,0.0246219658082978,0.106310159122634,0.08416393863214,0.153730394546816,0.0036833405934918,0.075134181076758,7.62402002389232e-05,0.0235985004774601,0.110279403395175,0.0325113268315787,0.000498888734728,0.0273621201515197,0.0494545185347037,0.133953658999343,0.0521620268279216,1.25926550632964e-05,480,28.607845161338,21.418139072665,81.5979797464467,499,24.7215489294841,165.391666666667,1573.16458333333,Stanford_TA551_R1C3
568260,0.0239494204467902,1.96421146716102,0.252830995577815,0.0785718801790865,0.0429271874818002,0.0352686020084627,0.128437824561927,0.273116122767675,0.209215492494315,0.0900781627193069,0.0056877601312295,0.338516353010796,0.0214643084802301,0.0180152656239414,0.0279357028192994,0.0291754769954637,0.0616739035401337,0.0121966030638096,0.0001107837184,0.0045289299710714,0.0347037687183739,0.140769120571164,0.0124404843368508,0.165790969547807,0.0940162376688642,0.133424763556238,0.0096930428345396,0.179573755337143,2.30649407258478e-05,0.0351604145745857,0.227186411445477,0.0851208106160393,0.000589128267967,0.0376820386466333,0.0436663138532397,0.21771043118514,0.225243580267509,5.06063796958681e-05,295,21.1290848169622,17.9331073597927,63.1126983722081,307,19.3805486428241,165.674576271186,955.579661016949,Stanford_TA551_R1C3
568261,0.117677370736854,7.97873237805489,0.112281837447485,0.082576625711348,0.0452860994707685,0.0270807949346289,0.120202980105294,0.0119390031175471,0.0079918317105038,0.0085596964609985,0.0169573607933985,0.257087961490964,0.0012767387707326,0.129597636635422,0.0105958626113165,0.0863939171442159,0.0395734277849716,0.0568101406097412,2.68793314134177e-06,0.0675163948795375,0.0176930670041439,0.112597011178892,0.0165356885405971,0.0338223428218004,0.0919915438921881,0.080026765871643,0.0010168520977277,0.0988239598185543,1.44528457894921e-05,0.0278485289266011,0.11955346179947,0.0445541631567892,0.0003330170964965,0.0056089896422166,0.0366156795755556,0.0729989471644874,0.355284209969952,2.64092844027357e-05,78,10.5904028239698,9.39741885357626,30.9705627484771,85,9.96557497033376,165.820512820513,1713.05128205128,Stanford_TA551_R1C3
568262,0.11614344244877,11.0467420444367,0.106351273786862,0.183678749991336,0.0203482821905384,0.0107971083768906,0.0725299754737983,0.0977750714950436,0.104083713624667,0.0224411804838045,0.0228894047723573,0.309313581785438,0.0126863692089514,0.0964223886013911,0.0572483203482733,0.0563791163901747,0.070053569609164,0.0314017283688684,4.27560524860765e-05,0.0200611498952747,0.018921054363425,0.0699232107762048,0.0127620825326993,0.0854645803497013,0.119186866546072,0.162051291829064,0.0048431126162909,0.0642195111682879,2.10669170471893e-05,0.0236585879329373,0.0496542073008355,0.0681608539133615,0.0004934949005485,0.0105678518866277,0.0265289710401667,0.0511110634217341,0.0884017254623949,1.20965700157604e-05,157,16.3703048371376,12.2272679169995,45.2132034355964,166,14.1385504392572,166.15923566879,1998.14649681529,Stanford_TA551_R1C3
568263,0.0870725298482858,4.28347782383905,0.137037890314377,0.103679977225258,0.045205745510893,0.066518414198969,0.0491745118441187,0.0793868604521761,0.0996110420586218,0.0615880914477026,0.015001497657607,0.192555818768383,0.006848100616859,0.0921712064684868,0.0165494714304537,0.0696260854907593,0.0365298551864662,0.0380219536995919,4.32171572381742e-05,0.02244190975179,0.0153476232444539,0.147101076989535,0.0125611794158334,0.0736554558006664,0.070590780589034,0.133207308232442,0.0080367248061205,0.0597822385891597,3.17408250627441e-05,0.0124553914555791,0.0810161720887522,0.0359894205002683,0.0005249812425214,0.0225625730227535,0.0339507058795576,0.126338797537933,0.0618613575391163,8.43601102894854e-06,751,36.4548122644233,26.9108770968009,105.254833995939,781,30.9225305901071,167.652463382157,1975.8189081225,Stanford_TA551_R1C3
568264,0.128320816400354,18.7574643598943,0.272937981104009,0.123669137951006,0.290102901910439,0.0597547032690721,0.094180186981462,0.138674888743594,0.0882542952796977,0.159624620599334,0.038342282639754,0.15062892947054,0.0104874738477696,0.114643094197124,0.0490180627847852,0.130776735349171,0.0724053175542513,0.075842249429478,6.02760805194111e-05,0.0232760707222416,0.0213337688703667,0.130656635175271,0.0225953070263201,0.120502754275547,0.141886685907656,0.182931494429729,0.0100959926479878,0.0856195494963118,8.7800005231379e-05,0.0238093940750665,0.154609756241423,0.0431750992355838,0.0005112427238971,0.018596361050793,0.0399839426779544,0.184275076980815,0.0200617280632986,3.69684134815395e-05,331,23.1920370175299,19.2107981744856,69.9411254969543,356,20.5290596303713,168.652567975831,1850.99093655589,Stanford_TA551_R1C3
568265,0.057301192777854,3.56709130859375,0.0480603174784303,0.0485637525995831,0.0168709391269069,0.0145707624661421,0.0782927604197672,0.0051097636400513,0.145369358648678,0.0325872089672683,0.0308026432803696,0.52708451029796,0.0174424235655238,0.0198625751824305,0.0707308064056084,0.0278178726659562,0.0871494293018231,0.0329326438903808,4.76345233619213e-05,0.015591800118555,0.013477321389262,0.104383855269962,0.0197840879562687,0.0785792834497728,0.0678861907790319,0.153156020549551,0.0028775336785302,0.0144842563525942,4.06895279884338e-05,0.0224777125580992,0.0396579851191839,0.0283607795576854,0.0003726858794689,0.0103832464218139,0.00012101197131,0.0360092277507062,0.023406351233598,4.32390943169594e-05,125,14.9395242646002,10.6936328133812,40.3847763108502,133,12.6156626101008,169.496,420.256,Stanford_TA551_R1C3
568266,0.0143912758924404,2.59181594848633,0.82315704795357,0.0712717626840404,0.0174859325764388,0.002126680150767,0.520237852093577,0.237196328625603,0.0757012919159823,0.0108314647767548,0.0136144528898587,0.165998240510775,0.011293530995032,0.0061858716520308,0.0173787247716116,0.0130269013573314,0.0503814697691169,0.0020699515365637,5.86533524955695e-05,0.0018755928431469,0.0186618631290235,0.155228176537562,0.01434644696114,0.40845963786417,0.0851850292060864,0.120098684182203,0.0138960098386463,0.0601305227713984,3.6978393416995e-05,0.0081757304632838,0.2629391958378,0.0429043186754583,0.0004901427130859,0.0234024364214677,0.0505051577070007,0.298310556795685,0.222254669386027,5.93069629618325e-06,416,28.3505268495371,18.7956184145254,77.1126983722081,434,23.0145095670064,169.995192307692,998.444711538462,Stanford_TA551_R1C3
568267,0.0879208075722688,9.99657338321696,0.124742245352562,0.110262259332847,0.035080485565983,0.0278274115729745,0.051444988915685,0.0909633727079021,0.0541660581675262,0.0113803154522228,0.0185117513469801,0.24088654796301,0.0052096097580412,0.0855224953174666,0.0371572739044792,0.0760091228121579,0.0476986585884176,0.031782961021652,8.49189109876955e-05,0.009591653502805,0.0184360910833556,0.18587743649988,0.0130898996841409,0.13771912506997,0.0768414594925366,0.0748369781204907,0.0103970555127666,0.0632385296209077,8.98393038508028e-05,0.0181742695714553,0.110227278603076,0.031996360681806,0.0005806478638739,0.0268382948166018,0.0385525870700355,0.086253653007788,0.0659748546264705,1.29743017337465e-05,734,35.820059338277,26.171011337012,101.740115370178,761,30.5705385270788,169.938692098093,1913.2098092643,Stanford_TA551_R1C3
